i	j	affiliation
BERTILLOT HUGO	2015_ST31	CSO SCIENCE PO
BERTILLOT HUGO	2017_ST22	EHESP
BERTINA LUDOVIC	2017_ST58	GSRL, EPHE PARIS
BERTRAND GILLES	2009_ST32	IEP BORDEAUX, SPIRIT
BERTRAND GILLES	2009_ST36	IEP BORDEAUX SPIRIT
BERTRAND GILLES	2011_ST2	CED, IEP BORDEAUX
BERTRAND GILLES	2011_ST7	CED, IEP BORDEAUX
BERTRAND GILLES	2013_ST48	CED, IEP BORDEAUX
BERTRAND GILLES	2017_ST66	CED, IEP BORDEAUX
BERTRAND ROMAIN	2009_ST35	CERI, FNSP
BERTRAND ROMAIN	2009_ST44	CERI, SCIENCES PO FNSP
BERTRAND ROMAIN	2009_ST50	CERI, SCIENCES POPARIS
BERTRAND ROMAIN	2009_ST9	CERI, FNSP
BERUT CHLOE	2017_ST25	PACTE, IEP GRENOBLE
BESCONT AMELIE	2017_ST28	SCIENCES PO PARIS CEVIPOF, SCIENCES PO PARIS
BESSARD RUDY	2015_ST8	CENTRE MONTESQUIEU
BESSIERE CELINE	2011_ST52	IRISSO, U. PARIS 9 / CMH
BESSIERE CELINE	2015_ST17	IRISSO, U. PARIS 9 / CMH
BESSONE MAGALI	2011_ST21	U. RENNES 1
BESSONE MAGALI	2013_ST43	U. RENNES I
BEUNARDEAU PAULINE	2013_ST2	U. DENIS DIDEROT PARIS 7 CSPRP
BEZANNIER FRANCK	2013_ST21	PARC NATUREL REGIONAL DES BALLONS DES VOSGES
BEZES PHILIPPE	2009_ST14	CERSA, CNRS, U. PARIS 2
BEZES PHILIPPE	2009_ST20	CNRS CERSA
BEZES PHILIPPE	2009_ST25	CERSA CNRS
BEZES PHILIPPE	2011_ST11	CERSA, U. PARIS 2
BEZES PHILIPPE	2013_ST4	NA
BEZES PHILIPPE	2013_ST8	CERSA
BEZES PHILIPPE	2015_ST18	NA
BEZES PHILIPPE	2015_ST32	CENTRE DETUDES ET DE RECHERCHES DE SCIENCES ADMINISTRATIVES ET POLITIQUES
BEZES PHILIPPE	2017_ST22	CEE
BEZES PHILIPPE	2017_ST4	CEE, SCIENCES PO PARIS
BHERER LAURENCE	2009_ST122	U. MONTREAL (CANADA)
BIAD ABDELWAHAB	2015_ST43	U. ROUEN
BIALE ENRICO	2013_ST31	UNIVERSITA DEL PIEMONTE ORIENTALE
BIAVA ALESSIA	2009_ST21	INSTITUT EUROPEEN DE LU. GENEVE (SUISSE)
BIDAUD CECILE	2011_ST18	ABORD LA QUESTION DU FINANCEMENT DES AIRES PROTEGEES ET DE LA BIODIVERSITE PAR LES MECANISMES DE CREDIT CARBONE SI LA DEFORESTATION EST UNE THEMATIQUE DEJA ANCIENNE, SON INTEGRATION DANS LE REGIME CLIMATIQUE INTERNATIONAL, AVEC LOUTIL REDD EN EVOLUTION RAPIDE, FAIT LOBJET DUN RECENT ET DENSE TRAVAIL DE MOBILISATION DE RESEAUX DEXPERTS ET DECIDEURS ARTICULE AVEC DES EXPERIMENTATIONS PILOTES CETTE COMBINAISON DECHELLES DU LOCAL A LINTERNATIONAL
BIDAUD CECILE	2013_ST18	UMR GRED, IRD
BIGDAY MARIA	2011_ST48	GSPE-PRISME, IEP STRASBOURG
BIGO DIDIER	2013_ST52	SCIENCES PO PARIS / KINGS COLLEGE LONDON (ROYAUME-UNI)
BIGO DIDIER	2017_ST18	SCIENCES PO PARIS
BIL MONIKA	2013_ST41	NA
BILAND EMILIE	2009_ST45	CMH, CNRS EHESS ENS
BILAND EMILIE	2011_ST42	U. LAVAL (CANADA) / CMH
BILAND EMILIE	2011_ST52	U. LAVAL (CANADA) / CMH
BILAND EMILIE	2013_ST5	U. LAVAL (CANADA)
BILAND EMILIE	2015_ST17	CRAPE, U. RENNES 2
BILAND EMILIE	2017_ST45	NA
BILAND EMILIE	2017_ST8	NA
BILELLA MARIO	2017_ST47	CESSP ET U. PARIS 1
BILLOWS SEBASTIAN	2015_ST40	CSO SCIENCES PO PARIS
BILLOWS SEBASTIEN	2017_ST5	CSO, SCIENCES PO PARIS
BIRANTAMIJE GERARD	2013_ST54	U. LIBRE BRUXELLES (BELGIQUE)
BIRCK JEAN NICOLAS	2011_ST31	IRENEE U. NANCY 2
BIRMAN JOEL	2009_ST51	UERJ ET UFRJ, RIO DE JANEIRO, PSYCHANALYSTE
BIRNBAUM PIERRE	2009_ST3	U. PARIS 1 & U. COLUMBIA
BISCHOF DANIEL	2013_ST7	U. LEICESTER
BISKUPOVIC CONSUELO	2015_ST8	EHESS IRIS
BISOPOULOS ANASTASIOS	2011_ST27	COMMISSION EUROPEENNE, DG EMPLOI, AFFAIRES SOCIALES ET INCLUSION
BISSON DAVID	2017_ST57	U. RENNES 1, IDPSP
BLAIS HELENE	2011_ST36	U. PARIS 10
BLANC FELIX	2013_ST61	EHESS CESPRA/IRSEM
BLANC FELIX	2015_ST60	U. NICE
BLANCHARD EMMANUEL	2009_ST46	CENTRE DHISTOIRE DU XXE SIECLE, U. PARIS 1/CNRS
BLANCHARD PHILIPPE	2009_ST40	U. LAUSANNE (SUISSE)
BLANCHARD PHILIPPE	2013_ST52	U. LAUSANNE (SUISSE)
BLATRIX CECILE	2011_ST17	AGROPARISTECH/CESSP SORBONNE
BLED AMANDINE	2009_ST41	SPIRIT / IEP BORDEAUX
BLEVIS LAURE	2011_ST42	U. PARIS 10
BLEVIS LAURE	2011_ST9	U. PARIS OUEST, ISP
BLOM AMELIE	2009_ST47	LAHORE U. MANAGEMENT SCIENCES LUMS
BLOM AMELIE	2013_ST53	IISMM, SCIENCES PO LE HAVRE CAMPUS ASIE
BLOM AMELIE	2015_ST8	CEIAS CNRS/EHESS PARIS
BLONDIAUX LOIC	2011_ST1	ET BRIGITTE GAITI U. PARIS 1 / CESSP-CRPS
BLONDIAUX LOIC	2011_ST37	PARIS 1, CRPS
BLONDIAUX LOIC	2011_ST39	PARIS 1, CESSP, CRPS
BLONDIAUX LOIC	2015_ST24	NA
BLOUIN GABRIEL	2017_ST15	VIRGINIA TECH
BLOUIN GENEST GABRIEL	2013_ST47	U. OTTAWA (CANADA)
BLUMENBERG MANUELA	2015_STRC20IPSA	NA
BOATRIGHT ROBERT	2013_ST41	NA
BOATRIGHT ROBERT	2015_STRC20IPSA	CLARK UNIVERSITY
BOBBA GIULIANO	2015_ST21	U. TURIN
BOCCON THOMAS	2013_ST55	LYCEE JEAN MOULIN, LES ANDELYS / U. PARIS 10
BOCCON THOMAS	2017_ST59	SOPHIAPOL, U. PARIS 10
BOCQUILLON PIERRE	2015_ST35	CAMBRIDGE UNIVERSITY
BOESCHEN STEFAN	2013_ST21	U. DAUGSBURG
BOEX CECILE	2011_ST48	IREMAM/IFPO
BOHUON ANAIS	2013_ST33	U. PARIS 11, LABORATOIRE SPORTS, POLITIQUES ET TRANSFORMATIONS SOCIALES JE 2496
BOIGEOL ANNE	2011_ST52	CNRS / ISP
BOILY FREDERIC	2013_ST61	U. ALBERTA
BONARD YVES	2009_ST26	LAURENT MATTHEY, MARIANNE THOMANN INSTITUT DE GEOGRAPHIE, U. LAUSANNE (SUISSE)
BONCOURT THIBAUD	2011_ST1	IEP BORDEAUX / CED
BONCOURT THIBAUD	2013_ST52	CED, IEP BORDEAUX
BONCOURT THIBAUD	2013_ST54	CED
BONDAZ ANTOINE	2013_ST48	SCIENCES PO PARIS/CERI, ASIA CENTRE
BONDAZ ANTOINE	2013_ST49	CERI, SCIENCES PO PARIS
BONDITTI PHILIPPE	2013_ST55	SCIENCES PO PARIS / INSTITUT DE RELATIONS INTERNATIONALES DE LU. PONTIFICALE DE RIO DE JANEIRO
BONDITTI PHILIPPE	2015_ST57	IRI / PUC RIO (BRESIL)
BONDITTI PHILIPPE	2017_ST61	ESPOL, U. CATHOLIQUE LILLE / LABTOP CRESPPA, U. PARIS 8
BONDITTI PHILIPPE	2017_ST68	ESPOL, U. CATHOLIQUE LILLE / LABTOP CRESPPA, U. PARIS 8
BONELLI LAURENT	2013_ST52	U. PARIS 10
BONELLI LAURENT	2013_ST59	U. PARIS 10 ISP
BONELLI LAURENT	2015_ST57	U. PARIS 10
BONELLI LAURENT	2017_ST53	U. PARIS 10 UMR ISP
BONN LAURA	2017_ST9	ICEE U. PARIS 3 / FRIEDRICH ALEXANDER UNIVERSITAT ERLANGEN NURNBERG
BONNARD PASCAL	2009_ST36	CERI, SCIENCES PO PARIS
BONNARD PASCAL	2013_ST43	CERI, SCIENCES PO PARIS
BONNARD PASCAL	2015_ST42	HUMBOLDT UNIVERSITAT (ALLEMAGNE)
BONNAUD LAURE	2013_ST17	RITME, INRA
BONNAUD LAURE	2017_ST22	RITME, INRA
BONNAUD LAURE	2017_ST7	RITME, INRA
BONNET LUCIE	2013_ST4	EHESS, GSPM IMM
BONNEVALLE PIERRE	2015_ST19	CERAPS, U. LILLE 2
BONNEVALLE PIERRE	2015_ST33	CERAPS, U. LILLE 2
BONNEVALLE PIERRE	2017_ST59	CERAPS, U. LILLE 2
BOONE DAMIEN	2011_ST32	CERAPS, U. LILLE 2
BOONE DAMIEN	2011_ST35	CERAPS, U. LILLE 2
BOONE DAMIEN	2013_ST35	CERAPS, U. LILLE 2
BOONE DAMIEN	2013_ST42	CERAPS, U. LILLE 2
BOONE DAMIEN	2015_ST28	CERAPS, U. LILLE 2
BOQUET DAMIEN	2015_ST8	TELEME
BORDAT ELODIE	2015_ST33	CHAUVIN CHERPA, IEP AIX EN PROVENCE
BORDAT ELODIE MARIE	2011_ST16	NA
BORELLE CELINE	2013_ST66	IEP GRENOBLE
BORRAZ OLIVIER	2009_ST14	CSO, SCIENCES PO CNRS
BORRAZ OLIVIER	2017_ST15	CSO, CNRS, SCIENCES PO PARIS
BORRILLO DANIEL	2009_ST16	NA
BORSENBERGER MONIQUE	2009_ST42	FREDERIC REY CEPS/INSTEAD LUXEMBOURG
BORY ANNE	2013_ST42	CLERSE, U. LILLE I
BORY ANNE	2017_ST30	NA
BORZ GABRIELA	2015_STRC20IPSA	U. STRATHCLYDE
BOSC CHRISTEL	2015_ST56	VETAGROSUP/ UMR METAFORT, CLERMONT FERRAND
BOSETTI LOUISE	2009_ST25	CERI, SCIENCES PO PARIS
BOSSY SOPHIE	2009_ST37	INSTITUT UNIVERSITAIRE EUROPEEN
BOSSY THIBAULT	2009_ST22	SCIENCES PO PARIS
BOSSY THIBAULT	2013_ST17	U. BORDEAUX 2, CED
BOSVIEUX CHARLES	2013_ST58	U. PARIS 1
BOSVIEUX CHARLES	2013_ST64	U. PARIS 1
BOSVIEUX CHARLES	2015_ST28	CESSP, U. PARIS 1
BOSVIEUX CHARLES	2015_ST31	CESSP, U. PARIS 1
BOSVIEUX CHARLES	2017_ST28	PRINTEMPS, U. VERSAILLES SAINT QUENTIN
BOUAGGA YASMINE	2017_ST15	TRIANGLE
BOUAGGA YASMINE	2017_ST2	TRIANGLE
BOUBAL CAMILLE	2015_ST37	CSO / SCIENCES PO PARIS
BOUBAL CAMILLE	2015_ST62	CSO / SCIENCES PO PARIS
BOUDOU BENJAMIN	2013_ST63	SCIENCES PO PARIS, CEVIPOF, SCIENCES PO PARIS
BOUGAREL XAVIER	2011_ST6	CETOBAC/EHESS PARIS
BOUGEARD CLEMENT	2013_ST24	U. LILLE II
BOUGHABA YASSINE	2011_ST35	NA
BOUILLAUD CHRISTOPHE	2009_ST1	IEP GRENOBLE
BOUILLAUD CHRISTOPHE	2009_ST17	IEP GRENOBLE
BOUILLAUD CHRISTOPHE	2011_ST21	IEP GRENOBLE
BOUILLAUD CHRISTOPHE	2011_ST28	PACTE, IEP GRENOBLE
BOUILLAUD CHRISTOPHE	2015_ST15	IEP GRENOBLE/PACTE
BOUILLAUD CHRISTOPHE	2015_ST23	PACTE, IEP GRENOBLE
BOUILLET JEREMY	2015_ST7	PACTE, IEP GRENOBLE
BOUILLY EMMANUELLE	2015_STGREPO	U. PARIS 1
BOULAT REGIS	2009_ST33	U. PARIS XII CRETEIL VAL DE MARNE PROGRAMME ANR : MANAGEMENT : PRATIQUES PRIVEES, ENJEUX PUBLICS UNE MISE EN PERSPECTIVE HISTORIQUE
BOULEAU GABRIELLE	2011_ST18	EXAMINE LA GENESE ET LE DEVELOPPEMENT DE LA THEORIE DE LA MODERNISATION ECOLOGIQUE ET SES APPLICATIONS EN EUROPE ELLE MONTRE EN QUOI CETTE THEORIE PROCEDE DUNE LOGIQUE DIDEOLOGIE DOMINANTE, INTEGRANT LA CRITIQUE DONT ELLE FAIT LOBJET AUX USA, EN MOBILISANT DES REGISTRES DE JUSTIFICATION INSPIRES DE POLITISTES ET PHILOSOPHES DE LACTION PUBLIQUE EN EUROPE LA COMMUNICATION DE ROZENN DIALLO, CENTREE SUR UNE ETUDE DU CAS DU MOZAMBIQUE ET DE SA POSITION DANS LE DOMAINE DES POLITIQUES DE PROTECTION DE LA BIODIVERSITE VIA PRINCIPALEMENT LA MISE EN PLACE ET LA GESTION DAIRES PROTEGEES ELLE ANALYSE LE ROLE DES ELITES ADMINISTRATIVES COMME ACTEURS CLES DES TRANSFERTS DANS LE CADRE DUNE NEGOCIATION AVEC LES BAILLEURS DE FONDS INTERNATIONAUX SOULIGNANT LA << DOUBLE ALLEGEANCE >> DE CES COURTIERS TRANSFER BROKERS
BOULEAU GABRIELLE	2013_ST20	IRSTEA BORDEAUX
BOULEAU GABRIELLE	2015_ST56	ET PIERRE LUC MARCHAL IRSTEA CESTAS / UNITE ENVIRONNEMENT, TERRITOIRES, INFRASTRUCTURES
BOULEAU GABRIELLE	2017_ST16	IRSTEA
BOULLIER HENRI	2017_ST8	IFRIS/CERMES3
BOUMAZA MAGALI	2011_ST10	U. GALATASARAY, ISTANBUL / U. STRASBOURG PRISME GSPE UMR CNRS 7012
BOUQUEREL FANNY	2017_ST65	INSTITUT DETUDES EUROPEENNES, U. PARIS 8, CRESPPA LABTOP,
BOURAD AICHA	2011_ST31	LASSP, IEP TOULOUSE
BOURAD AICHA	2013_ST24	LASSP, IEP TOULOUSE
BOURAD AICHA	2013_ST38	LASSP, IEP TOULOUSE
BOURAD AICHA	2015_STGREPO	IEP TOULOUSE
BOURBAN MICHEL	2017_ST76	LISA BROUSSOIS IGD/FGSE, U. LAUSANNE (SUISSE)
BOURBLANC MAGALIE	2009_ST18	CENTRE A KOYRE, CNRS
BOURBLANC MAGALIE	2015_ST30	CIRAD, UMR G EAU MONTPELLIER
BOURBLANC MAGALIE	2017_ST16	CIRAD, UMR G EAU
BOURDEAUX CORENTIN	2015_ST12	CESSP PARIS 1
BOURGEOIS MARINE	2013_ST11	CEE/ SCIENCES PO PARIS
BOURGEOIS MARINE	2017_ST9	CEE, SCIENCES PO PARIS
BOUSQUET FRANCK	2017_ST44	U. TOULOUSE 3
BOUSSAGUET LAURIE	2009_ST14	CEE, SCIENCES PO PARIS
BOUSSAGUET LAURIE	2009_ST15	CEE DE SCIENCES PO, PARIS
BOUSSAGUET LAURIE	2011_ST16	U. VERSAILLES SAINT QUENTIN
BOUSSAGUET LAURIE	2013_ST7	U. ROUEN, CEE SCIENCES PO PARIS
BOUSSAGUET LAURIE	2015_STPOPACT	U. ROUEN ET CEE, SCIENCES PO PARIS
BOUSSAGUET LAURIE	2017_ST54	RSCAS, EUI FLORENCE (ITALIE)
BOUTALEB ASSIA	2015_ST59	U. PARIS 8, CENTRE JACQUES BERQUE / USR 3136
BOUTHINON HUGUES	2011_ST42	DUMAS ESSEC BUSINESS SCHOOL, CENTRE EUROPEEN DE DROIT ET DECONOMIE
BOWLER SHAUN	2009_ST48	U. CALIFORNIA
BOY DANIEL	2009_ST41	FNSP CEVIPOF / SCIENCES PO PARIS
BOY DANIEL	2011_ST19	FNSP CEVIPOF / SCIENCES PO PARIS
BOY DANIEL	2013_ST26	SCIENCES PO PARIS, CEVIPOF, SCIENCES PO PARIS
BOYADJIAN JULIEN	2015_ST2	U. MONTPELLIER 1 CEPEL
BOYADJIAN JULIEN	2015_ST7	CEPEL, U. MONTPELLIER 1
BOYADJIAN JULIEN	2017_ST42	CERAPS, U. LILLE 2 / IEP LILLE
BOYADJIAN JULIEN	2017_ST44	CERAPS, U. LILLE 2 / IEP LILLE
BOZARSLAN HAMIT	2015_ST61	EHESS EHESS PARIS
BOZEC GERALDINE	2013_ST30	NA
BOZEC GERALDINE	2013_ST35	CEE/SCIENCES PO PARIS
BOZEC GERALDINE	2015_ST17	U. NICE URMIS
BOZON MICHEL	2017_ST26	INED
BOZONNET JEAN PAUL	2009_ST41	PACTE / IEP GRENOBLE
BRACK NATHALIE	2009_ST11	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
BRACK NATHALIE	2011_ST44	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
BRACONNIER CELINE	2009_ST13	U. CERGY PONTOISE, CEPEL
BRACONNIER CELINE	2009_ST34	CERGY PONTOISE
BRACONNIER CELINE	2009_ST5	U. CERGY PONTOISE, CEPEL
BRACONNIER CELINE	2011_ST34	CEPEL, U. CERGY PONTOISE
BRACONNIER CELINE	2011_ST35	CEPEL U. CERGY PONTOISE
BRACONNIER CELINE	2013_ST29	U. CERGY PONTOISE, CEPEL, U. MONTPELLIER 1
BRACONNIER CELINE	2015_ST1	U. CERGY PONTOISE/IEP SAINT GERMAIN EN LAYE
BRACONNIER CELINE	2015_ST4	CESDIP
BRADNEY ANTHONY	2011_ST42	KEELE UNIVERSITY
BRANDENBURG HEINZ	2015_STPOPACT	U. STRATHCLYDE, GLASGOW
BRANDLER JESSICA	2017_ST46	WEINREB, ARMELLE GAULIER, MARION PAOLETTI CED
BRANS MARLEEN	2017_ST20	U. CATHOLIQUE LOUVAIN
BRAUD PHILIPPE	2013_ST51	SCIENCES PO PARIS
BRAUD PHILIPPE	2015_ST8	EXPLORED THIS PERSPECTIVE CONCERNING ELECTIONS AND THEN GRADUALLY EXPANDED THE SPECTRUM TILL HIS RECENT WORK ON ANGER IN CROWD BEHAVIOUR AND ITS LONG TERM EFFECTS ON MORAL AND EMOTIONAL ENGAGEMENT, OPENING UP FRUITFUL RESEARCH AVENUES ON SUCH DIVERSE OBJECTS AS DEMOCRACY, VIOLENCE, POWER AND IDENTITIES SOMMEILLER CRETTIEZ 2012
BRAUD PHILIPPE	2015_ST9	TRAITE DES << MESUSAGES >> DE LA PSYCHOLOGIE POLITIQUE EN SE DEMANDANT A QUOI ELLE NE DOIT SURTOUT PAS SERVIR POINTANT LES RISQUES DE MALENTENDUS SUR LES CAPACITES QUI LUI SONT ATTRIBUEES IL SOULIGNE LE DANGER DE PRIVILEGIER INDUMENT LE SUJET, AU DETRIMENT DES PRATIQUES SOCIALES IL EVOQUE AUSSI LA POSSIBLE SOUS ESTIMATION DES PROCESSUS DE CONSTRUCTION DES SITUATIONS SOCIALES, ALORS QUILS IMPLIQUENT LA MISE EN PLACE DE SYSTEMES DE GRATIFICATIONS ET DE COUTS DORDRE EMOTIONNEL IL SINTERROGE ENFIN SUR LE CARACTERE OPERATIONNEL DES METHODES QUALITATIVES OU QUANTITATIVES GRACE AUX DONNEES DU MAKING ELECTORAL DEMOCRACY WORK PROJECT DE 2014 SUR DEUX REGIONS FRANCAISES, PAVLOS VASILOPOULOS ET GEORGE MARCUS, SINTERESSENT AUX LIENS ENTRE ANXIETE, COLERE ET POLARISATION POLITIQUE A LENCONTRE DE MODELES ATTRIBUANT LEXTREMISME A LA DIVISION DE LESPACE IDEOLOGIQUE, AUX CADRAGES MEDIATIQUES ET AUX CONDITIONS ECONOMIQUES, ILS USENT DE LA THEORIE DE LINTELLIGENCE AFFECTIVE POUR EVALUER LE ROLE DES EMOTIONS DANS LADOPTION DUNE POSITION EXTREME ILS TESTENT DEUX HYPOTHESES : LINDIGNATION RENFORCE LES OPINIONS ETABLIES DONC LEXTREMISME, TANDIS QUE LINQUIETUDE STIMULE LE PROCESSUS DELIBERATIF, ACCROISSANT DE CE FAIT LA PROBABILITE DADOPTER UNE ATTITUDE MODEREE SE SITUANT DANS LE PROLONGEMENT DES TRAVAUX PIONNIERS DE STANLEY MILGRAM, LAURENT BEGUE MONTRE LES APPORTS DE LA PSYCHOLOGIE SOCIALE A LA REFLEXION POLITIQUE ET PHILOSOPHIQUE SUR LOBEISSANCE A PARTIR DUN DISPOSITIF EXPERIMENTAL IMITANT UN JEU DE TELEREALITE IL ETABLIT QUE LA TELEVISION REPRESENTE UNE AUTORITE POUVANT CONDUIRE DES TELESPECTATEURS A INFLIGER VOLONTAIREMENT DES MAUVAIS TRAITEMENTS A DES INCONNUS CETTE AUTORITE NEXPLIQUE CEPENDANT PAS A ELLE SEULE LA DESTRUCTIVITE HUMAINE IL EST EN EFFET NECESSAIRE DARTICULER PLUSIEURS JEUX DE VARIABLES : LES PRESSIONS CIRCONSTANCIELLES AUTORITE DE LANIMATEUR TELE ET PUBLIC
BRECHON PIERRE	2009_ST42	IEP GRENOBLE/PACTE
BRECHON PIERRE	2013_ST26	PACTE, IEP GRENOBLE
BRENDER NATHALIE	2011_ST23	HES, HAUTE ECOLE DE GESTION DE GENEVE / HEG
BRENEZ LOU	2013_ST41	U. LIBRE BRUXELLES (BELGIQUE)
BRENEZ LOU	2015_STRC20IPSA	U. LIBRE BRUXELLES (BELGIQUE)
BRENNETOT ARNAUD	2013_ST60	UMR CNRS 6266 IDEES, U. ROUEN
BRETON ELEANOR	2015_ST33	LISE, CNAM
BRETON PHILIPPE	2009_ST44	LABORATOIRE CULTURE ET SOCIETES EN EUROPE, U. STRASBOURG
BREUX SANDRA	2009_ST13	U. MONTREAL (CANADA)
BREY ELISA	2011_ST51	U. COMPLUTENSE DE MADRID U. LIEGE (BELGIQUE)
BRIATTE FRANCOIS	2009_ST22	PACTE, IEP GRENOBLE
BRIATTE FRANCOIS	2009_ST43	PACTE, IEP GRENOBLE
BRIATTE FRANCOIS	2011_ST45	PACTE, IEP GRENOBLE
BRIATTE FRANCOIS	2013_ST50	PACTE, IEP GRENOBLE / ESPOL, U. CATHOLIQUE LILLE
BRIATTE FRANCOIS	2017_ST38	ESPOL, U. CATHOLIQUE LILLE
BRICE BENJAMIN	2011_ST2	EHESS PARIS
BRICE BENJAMIN	2015_ST60	EHESS / IEP LYON
BRICE BENJAMIN	2017_ST63	EHESS / U. SYDNEY
BRIQUET JEAN LOUIS	2009_ST44	NA
BRIQUET JEAN LOUIS	2009_ST7	CERI, SCIENCES PO PARIS
BRIQUET JEAN LOUIS	2011_ST13	CERI, SCIENCES PO PARIS
BRIQUET JEAN LOUIS	2011_ST28	CERI, SCIENCES PO PARIS
BRIQUET JEAN LOUIS	2015_ST53	NA
BRISOON THOMAS	2017_ST3	NA
BRISSAUD CONSTANTIN	2017_ST20	SAGE, U. STRASBOURG
BRISSAUD CONSTANTIN	2017_ST75	SAGE
BRISSET FLORENCE	2015_ST12	IMAF PARIS 1
BRITO ZAYLIN	2017_ST41	UNIVERSIDAD CASA GRANDE, EQUATEUR
BRIZIO AMANDINE	2013_ST13	CED, IEP BORDEAUX
BRIZIO AMANDINE	2017_ST43	CED, IEP BORDEAUX
BRIZIO AMANDINE	2017_ST75	CED
BROGAN MICHAEL	2013_ST41	NA
BROGAN MICHAEL	2015_STRC20IPSA	RIDER UNIVERSITY
BRONAN SOIZIC	2017_ST31	NA
BROND THOMAS VLADIMIR	2017_ST62	NA
BROOKES KEVIN	2013_ST57	PACTE U. GRENOBLE
BROOKES KEVIN	2015_ST23	PACTE, IEP GRENOBLE
BROOKES KEVIN	2017_ST55	IEP GRENOBLE, LABORATOIRE PACTE PO, U. GRENOBLE ALPES
BROQUA CHRISTOPHE	2009_ST16	IRD
BROSSIER MARIE	2009_ST8	CENTRE DE RECHERCHES POLITIQUES DE LA SORBONNE CRPS
BROSSIER MARIE	2013_ST25	U. LAVAL (CANADA) / CERAPS, U. LILLE 2
BROSSIER MARIE	2015_ST8	CIRAM
BROUARD SYLVAIN	2013_ST23	SPIRIT, IEP BORDEAUX
BROUARD SYLVAIN	2013_ST7	CED, IEP BORDEAUX
BROUSSOIS LISA	2017_ST76	IGD/FGSE, U. LAUSANNE (SUISSE)
BRUCKER PAULINE	2015_ST59	CERI SCIENCES PO CEDEJ
BRUGIDOU MATHIEU	2011_ST49	PACTE CNRS, GRENOBLE, ET CHERCHEUR SENIOR A EDF R&D
BRUN ELODIE	2013_ST48	SCIENCES PO PARIS/CERI, FRANCE
BRUNEAU IVAN	2011_ST13	U. LYON 2
BRUNET LAURENCE	2017_ST27	CENTRE DETHIQUE CLINIQUE APHP
BRUNETEAUX PATRICK	2009_ST38	CNRS/CRPS
BRUNETEAUX PATRICK	2015_ST48	CENTRE EUROPEEN DE SOCIOLOGIE ET DE SCIENCE POLITIQUE, U. PARIS 1
BRUNETEAUX PATRICK	2017_ST51	U. PARIS 1/CESSP/CNRS
BRUNO ISABELLE	2011_ST45	CERAPS, U. LILLE 2
BUCAILLE LAETITIA	2011_ST10	NA
BUCHET DE NEUILLY YVES	2009_ST19	CERAPS, U. LILLE 2
BUCHET DE NEUILLY YVES	2015_ST51	CERAPS, U. LILLE 2
BUCOLO ELISABETTA	2013_ST9	IAE DE PARIS, U. PANTHEON SORBONNE, LISE CNAM/CNRS
BUE NICOLAS	2011_ST32	NA
BUE NICOLAS	2013_ST36	ERMES, U. NICE / CERAPS, U. LILLE 2
BUE NICOLAS	2015_ST22	ERMES, U. NICE
BUGNON FANNY	2015_STGREPO	IEP BORDEAUX
BUISSON HELENE	2009_ST29	FENET LEST CNRS
BUISSON HELENE	2009_ST45	FENET ET ELENA DA RUI LABORATOIRE DECONOMIE ET DE SOCIOLOGIE DU TRAVAIL LEST,
BUISSON HELENE	2011_ST12	FENET TRIANGLE UMR CNRS 5206
BUNTZLY MARIE VERONIQUE	2011_ST47	ECOLE PRATIQUE DES HAUTES ETUDES
BURLAUD ANTONY	2017_ST3	CESSP, U. PARIS 1
BURLAUD ANTONY	2017_ST55	U. PARIS 1
BUSSI MICHEL	2009_ST13	U. ROUEN
BUSSI MICHEL	2011_ST33	NA
BUSSI MICHEL	2011_ST36	U. ROUEN / IDEES
BUTON FRANCOIS	2009_ST47	CNRS CURAPP AMIENS
BUTON FRANCOIS	2009_ST5	CNRS CURAPP
BUTON FRANCOIS	2011_ST1	ET NICOLAS MARIOT CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE / CEPEL ET CURAPP
BUTON FRANCOIS	2011_ST22	NA
BUTON FRANCOIS	2011_ST35	CNRS CEPEL
BUTON FRANCOIS	2015_ST4	ET NICOLAS FERRAN CEPEL
BUTON FRANCOIS	2017_ST67	NA
BUU DORIS	2017_ST2	SAO CERI, SCIENCES PO PARIS
BUZOGANY ARON	2011_ST27	ET ANDREJ STUCHLIK DEUTSCHE HOCHSCHULE FUR VERWALTUNGSWISSENSCHAFTEN SPEYER
CABALLERO ANA	2013_ST28	U. MURCIA
CABANE LYDIE	2013_ST20	CSO, SCIENCES PO PARIS
CABANE LYDIE	2017_ST15	CARR, LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (ROYAUME-UNI)
CABY VINCENT	2017_ST1	CED, IEP BORDEAUX CNRS
CABY VINCENT	2017_ST75	CED
CADIOU STEPHANE	2013_ST19	ERMES, U. NICE
CADIOU STEPHANE	2017_ST11	TRIANGLE, U. SAINT ETIENNE
CADIOU STEPHANE	2017_ST39	TRIANGLE, U. SAINT ETIENNE
CAEL CELINE	2015_STRC20IPSA	IEP LILLE
CAGE AGATHE	2013_ST57	CESSP ENS
CAILLOSSE JACQUES	2011_ST42	CAILLOSSE JACQUES U. PANTHEON ASSAS
CAITUCOLI MARIE HELENE	2013_ST22	WIRTH EHESS/CESPRA, PARIS
CALBA ROMAIN	2011_ST50	U. MONTPELLIER 3, IRSA CRI
